Comment,True Sentiment
Super brand cycle,positive
Very stylish and attractive but rim and tyres shown in website slightly confused me,negative
Superb ☺️🤞✨,positive
I am giving this review after using it for 2 months. This is a beast in this price range. This cycle offers a lot of features in an affordable price . The build quality is great. Front suspension is also fine.  I didn't face any major issue till now. There were some minor issues with the disc brake and handle alignment but it can be fixed by the provided tools. The dietician Megha Kalaskar is also very good and attentive . She listened all the query with patience and offered solution accordin...,positive
It'value for money...don't think over must buyable product..,neutral
Perfect,positive
Super excellent good cycle,positive
Good cycle..,positive
Don't thik go for it very good product my son love it.,positive
Nice product,positive
It's superb with this price. Got satisfied with this deal and the service by the company is awesome. Really happy for the cycle. You can go for it.,positive
Best cycle for riding 💙✨,positive
Nice cycle and smooth performance,positive
"Amazing Cycle, best quality ride, very smooth and breaks are pretty good. Everything is best except air pump provided with this cycle, it's totally useless.",positive
"Good product . good customer support.  Good time delivering expected. nice fitting service, bicycle is awesome to drive......Fitness programme is good..Oveeall Value for money...I Recommended this bicycle , because its very comfortable to me.Amazing product.",positive
Very good cycle I loved it it's smooth and comfortable while riding..,positive
"I really nice experience on fitplus app. My dietitian Pooja tumma is very helpful and knowledgeable .she made my nutrition and diet plan very well. I am followingevery thing told by the dietitian and feeling change kr in my fitness level and the cycle is very good looking ,working very smoothly.",positive
Fast service nd best trainer  total best product nd love. It,positive
Very good,positive
Cycle is very good looking.and nice suspension the tires are well appreciable  service don't worry is u face any problem.The customer care will solve everything.,positive
Good quality,positive
Value for money. Good looks. Good performance overall.,positive
"Satisfied with the design, look and sturdiness of the product. Purchased mud guard separately. Product delivered on time and installation on the third day of receiving. Got follow up calls which was nice. Friendly customer service personnel. Overall satisfied with Urban Terrain team and their product.",positive
Happy 💟💟❤️❤️,positive
Very nice,positive
"Till now working Fine . I am satisfied with the product.But you have to work on the seats as for long ride it's not so comfortable. And in my case front disc is not so smooth and touching the disc creating unwanted sounds. And by looks , design it's perfect and working smooth.And special mention is I got 3 months diet plan from cultsport with this product. I am really happy with the dietitian assigned to me. Aishwarya ma'am,she is really great and helped me choose my proper diet plan and tra...",positive
Excellent product and excellent service. Installation was free of cost and the technician came to install the cycle was very professional he made sure that bike  is properly installed and ready to go.I really like this cycle and recommend this to one of my friend also.,positive
Impressed with the product as well the team. Got 3 months free access to onefitplus app where Diet plan & tracking is available to us with Dietician consultation. I had spoke to dietician Ms.aiswarya and she has explained well about the balanced diet plan and schedule to achieve our goals. Thanks to her and team.,positive
value for money my son more happy,positive
Urban terrain look very nice,positive
it is amazing cycle with yoga training and it was very nice. Really friendly people and good training! Thank you madam very much! But I sad only one class.,positive
You can buy this product without any doubt. 100% value for money,positive
Very nice product and easy to install,positive
Nice product nice look  only issue that company should provide the mud guard.,positive
Nice product.. Good quality.. Customer care support also good... Thank u...&I got free diet consultation which was really helpful and looking forward for the diet plan.😊,positive
Product is very Good and also got all the required accessories in the package.. The packaging was  very good and the delivery also..The session of Cultfit Sport  with  the dietician ma'am was very much informative and valuable for me and the way of talking and giving of information was very Good.. I Am giving 5 star rating on the behalf of this.. thanks to Flipkart and Cultfit Sport team for the product and valuable informations and  for the diet plans ...,positive
"ImpressiveI must say that this is an excellent product with great quality....Another this you would get will be the free dietician consultations, the dietician explained me clearly what kind of food diet and sounded very knowledged person.Finally it was a wonderful experience of buying a product from urban terrain.",positive
"Value for moneyI am riding this cycle for last one and half months and completed more than 1000 km. Based on this experience writing this review.1. For this price point (6500 rupees during discounts), it is one of the best options. Overall ride quality, riding posture and road presence is significantly better than its competitors.2. Now coming to the built qualityMajority of the parts show the signs of cost cutting.After using for 40/45 days majority of the parts started catching ru...",positive
I love this cycle and super quality,positive
Products are very nice specially my helth advisor pooja mem and bhavna mem is   great to talk  I'm happy to buy this bicycle. 😊,positive
Got free Dietician along with the product. It' was so amazing and easy to follow diet plan.The Dietician called after installation and took 15-20min and explained everything about diet and how to manage our routine. Listened to all my queries and solved promptly. Lucky to have Dietician who is so much knowledgeable.Thanks Cultsports.,positive
this cycle is very good,positive
